Letter,Street
A,Calle del Alberche
A,Pasaje del Alberche
A,Calle de Alberdi
A,Carretera del Albergue Juvenil
A,Calle de la Albericia
A,Calle de Alberique
A,Calle de Albert Camus
A,Calle de Alberto Aguilera
A,Avenida de Alberto Alcocer
A,Calle de Alberto Bosch
A,Calle de Alberto de Palacio
A,Calle de Alberto Insua
A,Calle de Alberto León Peralta
A,Calle de Alberto Marcos
A,Calle de Alberto Martín Artajo
A,Calle de Alberto Palacios
A,Paseo de Alberto Palacios
A,Calle Alberto Sánchez
A,Calle de Albino Hernández Lázaro
A,Calle de Alborea
A,Calle de Albox
A,Avenida de la Albufera
A,Calle de Albuñuelas
A,Calle de Alburquerque
A,Calle de Alcácer Tejares
A,Calle de Alcalá
A,Calle de Alcalá de Guadaira
A,Calle de Alcalá Galiano
A,Calle del Alcalde Alfonso Vázquez
A,Calle del Alcalde Álvarez de Villaamil
A,Calle del Alcalde Andrés Madrid Dávila
A,Calle del Alcalde Aristizabal Manchón
A,Plaza del Alcalde Brell
A,Calle del Alcalde Conde de Mirasol
A,Calle del Alcalde Garrido Juaristi
A,Calle del Alcalde Henche de la Plata
A,Calle del Alcalde Juan de Mata Sevillano
A,Calle del Alcalde López Casero
A,Calle del Alcalde Luis Marichalar
A,Calle del Alcalde Luis Silvela
A,Calle del Alcalde Martín de Alzaga
A,Plaza del Alcalde Moreno Torres
A,Calle de Alcalde Pedro Escarbassiere
A,Calle del Alcalde Pedro Gutiérrez
A,Calle del Alcalde Redondo Aceña
A,Calle del Alcalde Sáinz de Baranda
A,Calle de la Alcancía
A,Calle de Alcántara
A,Calle de Alcañices
A,Calle de Alcañiz
A,Calle del Alcaraván
A,Calle de Alcaraz
A,Calle de la Alcarria
A,Calle del Alcatraz
A,Plaza de Alcaudete
A,Calle del Alcaudón
A,Calle de la Alcazaba
A,Calle de Alcázar de San Juan
A,Calle de Alción
A,Plaza de Alcira
A,Carretera de Alcobendas a Barajas
A,Calle de Alcobendas
A,Camino de Alcobendas
A,Calle de Alcocer
A,Calle de Alcolea
A,Calle de Alconera
A,Calle de Alcores
A,Calle de Alcorisa
A,Calle del Alcornoque
A,Calle de Aldapa
A,Calle de Aldaya
A,Calle de Aldea del Fresno
A,Calle de Aldea Real
A,Calle de Aldeanueva de la Vera
A,Calle de Aldebarán
A,Calle de Aldonza Lorenzo
A,Calle de la Alegría
A,Calle de Alegría de Oria
A,Calle de Aleixandre
A,Calle de Alejandrina Morán
A,Calle de Alejandro Casona
A,Calle de Alejandro Chacón
A,Avenida de Alejandro de la Sota
A,Calle de Alejandro Dumas
A,Calle de Alejandro Ferrant
A,Calle de Alejandro González
A,Calle de Alejandro Humbolt
A,Calle de Alejandro Morán
A,Calle de Alejandro Navarro
A,Calle de Alejandro Rodríguez
A,Calle de Alejandro Saint Aubín
A,Calle de Alejandro Sánchez
A,Travesia de Alejandro Sánchez
A,Calle de Alejandro Villegas
A,Calle de Alemania
A,Calle de Alenza
A,Calle del Alerce
A,Calle de Alesanco
A,Calle Alfa
A,Calle de Alfacar
A,Calle de la Alfalfa
A,Calle de Alfambra
A,Calle del Alfar
A,Calle de la Alfarería
A,Calle de los Alfareros
A,Calle de Alfarnate
A,Calle de Alfaro
A,Calle del Alférez de España
A,Calle del Alférez Juan Usera
A,Calle de Alfonso Cea
A,Calle de Alfonso Fernández
A,Calle de Alfonso Fernández Clausells
A,Calle de Alfonso Gómez
A,Calle de Alfonso Martínez Conde
A,Calle de Alfonso Paso
A,Avenida de Alfonso Peña Boeuf
A,Calle de Alfonso Rodríguez Castelao
A,Calle de Alfonso Rodríguez Santamaría
A,Calle de Alfonso VI
A,Calle de Alfonso VIII
A,Calle de Alfonso X
A,Calle de Alfonso XI
A,Calle de Alfonso XII
A,Avenida de Alfonso XIII
A,Calle de Alfonso XIII
A,Calle de Alfredo Aleix
A,Travesia de Alfredo Aleix
A,Calle de Alfredo Brañas
A,Calle de Alfredo Castro Camba
A,Parque Alfredo Kraus
A,Plaza de Alfredo Mahou de la Fuente
A,Calle de Alfredo Marquerie
A,Calle de Algaba
A,Calle del Algarrobo
A,Calle de Algeciras
A,Calle de Algemesi
A,Travesia de Algemesi
A,Calle de Algenib
A,Calle de Algete
A,Calle del Algodón
A,Calle de los Algodonales
A,Calle de Algodre
A,Calle de Algorta
A,Callejon del Alguacil
A,Glorieta de Alhabia
A,Plaza de Alhama de Almería
A,Calle de la Alhambra
A,Calle de Alhaurín
A,Avenida de los Alhelíes
A,Calle de Alhena
A,Calle de Alhóndiga
A,Calle de Aliaga
A,Calle de la Alianza
A,Calle de Alicante
A,Calle de Alicia Baena
A,Calle de Alicun
A,Calle del Aligustre
A,Calle de Aliseda
A,Calle de los Alisios
A,Calle de Aljarafe
A,Calle de Allamanda
A,Calle de Allariz
A,Calle de Allende
A,Calle de Allendesalazar
A,Plaza de Alloz
A,Calle de Almadén
A,Calle de Almagro
A,Calle del Almanaque
A,Calle de Almansa
A,Travesia de Almansa
A,Calle de Almanzora
A,Calle de Almarza
A,Calle de Almazán
A,Calle de Almazara
A,Calle de Almedina
A,Camino de la Almenara
A,Calle de las Almenas
A,Calle de Almendralejo
A,Calle de Almendrales
A,Glorieta de Almendrera
A,Calle del Almendro
A,Travesia del Almendro
A,Calle de Almería
A,Calle del Almez
A,Calle del Almirante
A,Calle del Almirante Requesens
A,Plaza de Almodóvar
A,Calle de Almogia
A,Calle de Almonacid
A,Calle de Almonte
A,Calle de Almoradí
A,Calle de Almorox
A,Calle de Almortas
A,Calle de la Almudena
A,Plaza de Almuñécar
A,Calle de Almuradiel
A,Calle del Aloe Vera
A,Calle de la Alondra
A,Calle de Alonso Cano
A,Calle de Alonso Carbonell
A,Pasaje de Alonso Carbonell
A,Calle de Alonso Castrillo
A,Calle de Alonso de Contreras
A,Calle de Alonso del Barco
A,Calle de Alonso Fernández
A,Calle de Alonso Heredia
A,Plaza de Alonso Martínez
A,Calle de Alonso Martos
A,Calle de Alonso Núñez
A,Calle de Alonso Quijano
A,Calle de Alonso Saavedra
A,Calle de Alonso Zamora Vicente
A,Calle de Alora
A,Plaza de Alosno
A,Calle de Alozaina
A,Calle de Alpedrete
A,Calle de las Alpujarras
A,Calle de la Alquimia
A,Plaza de Alsacia
A,Calle de Alsasua
A,Calle de Altair
A,Calle de Altamira
A,Poblado de Altamira
A,Calle de Altamirano
A,Calle de Altea
A,Calle de Alto Campoo
A,Paseo Alto de Casimiro Gómez Ortega
A,Camino Alto de Hortaleza
A,Calle del Alto de la Sartenilla
A,Camino Alto de San Isidro
A,Calle del Alto del Esparragal
A,Calle del Alto del León
A,Calle del Alto del Retiro
A,Calle de Altos de Cabrejas
A,Calle de los Altos de Lillo
A,Calle de Altos de Saceruela
A,Calle de Altozano
A,Calle de Alucas
A,Parque Aluche
A,Calle del Aluminio
A,Calle de Alustante
A,Calle de Alvarado
A,Calle de Álvarez Abellán
A,Calle de Álvarez
A,Calle de Álvarez Cienfuegos
A,Calle de Álvarez de Baena
A,Calle de Álvarez Gato
A,Calle de Álvaro Caballero
A,Calle de Álvaro Cunqueiro
A,Calle de Alverja
A,Calle de Alzina
A,Calle de Alzola
A,Calle de Amadeo Fernández
A,Calle de Amadeo Gómez
A,Calle de Amadeo I
A,Calle de Amado Nervo
A,Calle de Amador de los Ríos
A,Calle de Amador Valdés
A,Calle de Amador y Fernando
A,Calle de Amalarico
A,Pasaje de Amalarico
A,Calle de Amalia
A,Calle de Amalia Marcos
A,Travesia de Amalia Marcos
A,Calle de Amaltea
A,Calle del Amanecer
A,Plaza del Amanecer en Méndez Álvaro
A,Calle de Amaniel
A,Calle de las Amapolas
A,Calle de Amara
A,Camino de la Amarguilla
A,Calle de la Amargura
A,Calle de Amaya
A,Calle de las Amazonas
A,Calle del Ámbar
A,Calle de Amberes
A,Pasaje de Ambite
A,Calle de Ambrós
A,Calle de Ambrosio Vallejo
A,Camino de Ambroz a Coslada
A,Calle de Ambroz
A,Camino de Ambroz
A,Travesia de Ambroz
A,Avenida de América
A,Plaza de América Española
A,Calle del Americio
A,Calle de Américo Castro
A,Calle de Ameyugo
A,Calle de la Amistad
A,Calle de la Amnistía
A,Calle del Amor de Dios
A,Calle del Amor Hermoso
A,Calle de Amorebieta
A,Calle de Amorós
A,Calle de Amós de Escalante
A,Calle del Amparo
A,Calle de Amparo Usera
A,Calle de Ampelido
A,Calle de Amposta
A,Calle de Ampuero
A,Calle de Amsterdam
A,Calle de Amurrio
A,Calle de Ana Albí
A,Calle de Ana de Austria
A,Calle de Ana María
A,Plaza de Ana María Janer
A,Calle de Ana Mariscal
A,Calle de Ana Teresa
A,Calle del Ánade
A,Calle de Anastasia López
A,Calle de Anastasio Aroca
A,Calle de Anastasio Herrero
A,Pasaje de Anchuelo
A,Pasaje de los Ancianos
A,Calle de Anciu
A,Calle de Áncora
A,Pasaje de Áncora
A,Calle de los Andaluces
A,Calle de los Andaluces del Pozo
A,Avenida de Andalucía
A,Calle de Andalucía
A,Carretera de Andalucía
A,Puente de Andalucía
A,Calle de Andarríos
A,Avenida de los Andes
A,Calle de Andévalo
A,Calle de Andorra
A,Calle de Andrea Jordán
A,Calle de Andrea Puech
A,Calle de Andrés Antón
A,Calle de Andrés Arteaga
A,Plaza de Andrés Arteaga
A,Calle de Andrés Bello
A,Calle de Andrés Borrego
A,Calle de Andrés de Urdaneta
A,Calle de Andrés Herranz
A,Plaza de Andrés Jaúregui
A,Plaza de Andrés Manjón
A,Calle de Andrés Mellado
A,Travesia de Andrés Mellado
A,Calle de Andrés Obispo
A,Calle de Andrés Saborit
A,Plaza de Andrés Segovia
A,Plaza de Andrés Soloaga
A,Calle de Andrés Tamayo
A,Calle de Andrés Torrejón
A,Calle de Andrómeda
A,Calle de Andújar
A,Calle de las Anémonas
A,Calle del Ángel Beato
A,Glorieta del Ángel Caído
A,Calle del Ángel
A,Plaza de Ángel Carbajo
A,Calle de Ángel Cavero
A,Calle de Ángel de Diego Roldán
A,Calle del Ángel de la Guarda
A,Calle de Ángel Díaz Zamorano
A,Calle de Ángel Domínguez
A,Calle de Ángel Fernández Labrada
A,Plaza de Ángel Francés
A,Calle de Ángel Ganivet
A,Calle de Ángel González Tejedor
A,Calle de Ángel Gordillo
A,Calle de Ángel Hernández
A,Calle de Ángel Larra
A,Calle de Ángel Luis de la Herrán
A,Calle de Ángel Martín Rodríguez
A,Calle de Ángel Múgica
A,Calle de Ángel Muñoz
A,Plaza del Ángel
A,Callejon de Ángel Pozas
A,Calle de Ángel Puech
A,Calle de Ángel Ripoll
A,Avenida de Ángel Sanz Briz
A,Calle de Ángela González
A,Costanilla de los Ángeles
A,Plaza de los Ángeles Custodios
A,Calle de Ángeles de las Heras
A,Plaza de Angélica Señora
A,Calle de Angelillo
A,Calle de Angelita Camarero
A,Calle de Angelita Cavero
A,Calle del Ángelus
A,Calle Angosta
A,Calle Angosta de los Mancebos
A,Plaza de Anguiano
A,Calle de Anguita
A,Calle de Aníbal
A,Glorieta de Aníbal González
A,Calle de Aniceto Marinas
A,Escalera de Aniceto Marinas
A,Calle de Aniceto Pérez
A,Calle del Anillo Verde
A,Calle del Anís
A,Calle de Anita Vindel
A,Calle de Ankara
A,Calle de Anna Frank
A,Plaza de Anocibar
A,Calle de Anoeta
A,Calle del Ansar
A,Calle de Anselmo Lorenzo
A,Calle de Antares
A,Calle de Antequera
A,Camino de Antequina
A,Carretera de Antigua de Paracuellos de Jarama
A,Camino Antiguo Viejo de Vicálvaro
A,Calle de Antillón
A,Calle del Antimonio
A,Calle de Antioquia
A,Calle de Antolín Dompablo
A,Calle de Antolín García
A,Calle de Antolina Merino
A,Plaza de Antón Martín
A,Calle de Antonia Baena
A,Calle de Antonia Calas
A,Calle de Antonia Calvo
A,Calle de Antonia Domínguez
A,Calle de Antonia Lancha
A,Travesia de Antonia Lancha
A,Calle de Antonia Mercé
A,Calle de Antonia Rodríguez Sacristán
A,Calle de Antonia Ruiz Soro
A,Calle de Antonia Usera
A,Calle de Antonio Acuña
A,Calle de Antonio Aguilar
A,Calle de Antonio Antoranz
A,Calle de Antonio Arias
A,Calle de Antonio Bienvenida
A,Calle de Antonio
A,Calle de Antonio Calvo
A,Calle de Antonio Cantalejo
A,Calle de Antonio Casero
A,Calle de Antonio Cavero
A,"Glorieta de Antonio Chenel ""Antoñete"""
A,Calle de Antonio Corpas
A,Calle de Antonio Cumella
A,Calle de Antonio de Burgos
A,Calle de Antonio de Cabezón
A,Calle de Antonio de Leyva
A,Calle de Antonio de Pinedo
A,Calle de Antonio Díaz-Cañabate
A,Calle de Antonio Durán Tovar
A,Calle de Antonio Flores
A,Calle de Antonio Flórez
A,Calle de Antonio Folgueras
A,Calle de Antonio Fuentes
A,Calle de Antonio Gades
A,Glorieta de Antonio Garisa
A,Calle de Antonio Gistau
A,Calle de Antonio Gómez Galiana
A,Calle de Antonio González Echarte
A,Calle de Antonio González Porras
A,Calle de Antonio Grilo
A,Calle de Antonio Guzmán
A,Calle de Antonio Lanzuela
A,Calle de Antonio Larrazábal
A,Calle de Antonio López Aguado
A,Calle de Antonio López
A,Calle de Antonio López Torres
A,Travesia de Antonio López Torres
A,Calle de Antonio Machado
A,Calle de Antonio Maeso Joana
A,Calle de Antonio Mairena
A,Plaza de Antonio María Segovia
A,Calle de Antonio Maura
A,Calle de Antonio Mira de Amescua
A,Calle de Antonio Miró Valverde
A,Calle de Antonio Molina
A,Calle de Antonio Moreno
A,Calle de Antonio Nebrija
A,Travesia de Antonio Nebrija
A,Calle de Antonio Palomino
A,Calle de Antonio Pérez
A,Calle de Antonio Pérez de Guzmán
A,Glorieta de Antonio Perpiñá
A,Calle de Antonio Pirala
A,Calle de Antonio Ponz
A,Calle de Antonio Prieto
A,Calle de Antonio Reig
A,Calle de Antonio Rodríguez
A,Calle de Antonio Rodríguez Villa
A,Calle de Antonio Romero
A,Calle de Antonio Salcés
A,Calle de Antonio Salvador
A,Calle de Antonio Sancha
A,Calle de Antonio Sanfiz
A,Calle de Antonio Toledano
A,Calle de Antonio Ulloa
A,Plazuela de Antonio Vega
A,Calle de Antonio Velasco Zazo
A,Calle de Antonio Vicent
A,Calle de Antonio Vico
A,Calle de Antonio Zamora
A,Calle de Antonio Zapata
A,Calle de Antoniorrobles
A,Calle de Antoñita Jiménez
A,Calle de la Antracita
A,Calle de Anturio
A,Calle de la Anunciación
A,Calle de Anzuola
A,Calle de Añafil
A,Calle de Añastro
A,Calle de Añil
A,Calle de los Aparejadores
A,Calle del Apeadero
A,Calle de Apodaca
A,Calle de Apolo
A,Calle de Apolonio Morales
A,Calle del Apóstol Santiago
A,Avenida de los Apóstoles
A,Calle de los Apréndices
A,Calle de Aquiles
A,Calle de Aquilino Domínguez
A,Calle de Aquitania
A,Travesia de Aquitania
A,Calle de Ara
A,Calle de Arabell
A,Calle de Aracataca
A,Calle de Aracena
A,Calle de Aracne
A,Avenida de Aragón
A,Calle de Aragón
A,Plaza de Aragón
A,Calle de los Aragoneses
A,Calle del Aragonito
A,Calle de Aráiz
A,Calle de Aralar
A,Calle de Aralia
A,Calle de Arama
A,Calle de Aramayona
A,Calle de Aramis
A,Calle de Aramunt
A,Calle del Arándano
A,Calle de Arándiga
A,Calle de Arandilla
A,Calle de Aranjuez
A,Calle de Aránzazu
A,Calle de Aranzo
A,Calle de Aranzueque
A,Calle de Arapiles
A,Calle de Araquil
A,Calle de Arascues
A,Plaza de Aratoca
A,Calle de Arauca
A,Calle de la Araucaria
A,Calle de Aravaca
A,Calle del Árbol del Cielo
A,Calle de la Arboleda
A,Calle de los Árboles
A,Calle de Arbucias
A,Calle de Arcadia
A,Calle del Arcángel San Rafael
A,Calle de Arcaute
A,Avenida de Arcentales
A,Glorieta de Arcentales
A,Avenida de los Arces
A,Calle de Archanda
A,Calle de Archidona
A,Calle del Archiduque Alberto
A,Calle del Archipiélago
A,Calle del Archivo
A,Calle del Archivo de Indias
A,Calle de la Arcilla
A,Calle de Arciniega
A,Calle del Arcipreste de Hita
A,Calle del Arco del Triunfo
A,Calle de Arcos
A,Calle de Arcos de Jalón
A,Calle de Arcos de la Frontera
A,Calle de Ardales
A,Calle de Ardemáns
A,Calle del Ardite
A,Calle de Arechavaleta
A,Travesia de Arechavaleta
A,Calle del Arenal
A,Calle del Arenal de Maudes
A,Travesia del Arenal
A,Calle de la Arenaría
A,Calle de Arenas
A,Calle de Arenas de Iguña
A,Calle de Arenas de San Pedro
A,Calle de Arenas del Rey
A,Calle de Arenas y Navarro
A,Calle de Arequipa
A,Calle Aretha Franklin
A,Calle de Arévalo
A,Calle de Arévalo Lara
A,Calle del Arga
A,Calle de Arganda
A,Calle de Arganzuela
A,Avenida de Arganzuela Mercamadrid
A,Parque de la Arganzuela
A,Calle de Argensola
A,Calle de la Argenta
A,Calle de Argente
A,Calle de Argentina
A,Paseo de Argentina
A,Calle de Argentona
A,Calle de Argós
A,Plaza de Argüelles
A,Calle de Argüeso
A,Calle de Argumosa
A,Calle de Ariadna
A,Calle de Arias Montano
A,Calle de Ariel
A,Calle de Aries
A,Calle de Aristóteles
A,Calle de Ariza
A,Calle de las Arizónicas
A,Calle de Arjona
A,Calle de Arlabán
A,Calle de Arlanza
A,Calle de la Armada Española
A,Calle de Armando Palacio Valdés
A,Calle de Armas
A,Calle de Armengot
A,Calle de Armenteros
A,Plaza de Armería
A,Plaza de Armilla
A,Calle de Arminza
A,Calle de la Armonía
A,Calle de la Armónica
A,Calle de Arnedillo
A,Calle de Arnedo
A,Calle de Aro
A,Calle del Arpa
A,Avenida de los Arqueros
A,Calle de Arquímedes
A,Calle del Arquitecto Gaudí
A,Calle del Arquitecto López Otero
A,Calle del Arquitecto Rafael Leoz
A,Jardin del Arquitecto Ribera
A,Jardines del Arquitecto Ribera
A,Calle del Arquitecto Sánchez Arcas
A,Calle de la Arquitectura
A,Calle de la Arquitectura de Tarragona
A,Calle de Arrastaria
A,Calle de Arrecife
A,Calle de Arregui y Aruej
A,Calle de Arriaga
A,Pasaje de Arriaga
A,Calle de Arriaza
A,Calle de Arrieta
A,Calle del Arroyo Belincoso
A,Calle del Arroyo Bueno
A,Calle del Arroyo
A,Calle del Arroyo de la Bulera
A,Calle del Arroyo de la Elipa
A,Calle del Arroyo de la Gavia
A,Calle del Arroyo de la Media Legua
A,Calle del Arroyo de la Tía Martina
A,Calle del Arroyo de las Pavas
A,Calle del Arroyo de las Pilillas
A,Calle del Arroyo de los Pos
A,Calle del Arroyo de Pozuelo
A,Pista del Arroyo de Trofa
A,Calle del Arroyo de Valdebebas
A,Camino Arroyo de Valdebebas
A,Calle del Arroyo del Cañaveral
A,Calle del Arroyo del Charco del Pescador
A,Camino del Arroyo del Fraile
A,Calle del Arroyo del Hoyo
A,Calle del Arroyo del Juncal
A,Calle del Arroyo del Monte
A,Camino del Arroyo del Monte
A,Calle del Arroyo del Olivar
A,Calle del Arroyo del Quinto
A,Avenida del Arroyo del Santo
A,Calle del Arroyo Fontarrón
A,Calle del Arroyo Opañel
A,Travesia del Arroyo
A,Calle del Arroyo Valdecelada
A,Calle de Arroyo Varhondillo
A,Calle de Arroyofresno
A,Calle de Arroyomolino
A,Calle del Arroz
A,Calle del Arrozal
A,Calle de Artajona
A,Calle del Arte Abstracto
A,Calle del Arte
A,Calle del Arte Conceptual
A,Calle del Arte Expresionista
A,Calle del Arte Figurativo
A,Calle del Arte Hiperrealista
A,Calle del Arte Minimal
A,Calle del Arte Mudéjar de Teruel
A,Calle del Arte Pop
A,Calle del Arte Rupestre del Mediterráneo
A,Calle de Arteijo
A,Plaza de Arteijo
A,Calle de Artemisa
A,Calle de Artenera
A,Calle de Artesa de Segre
A,Calle de la Artesanía
A,Plazuela de los Artesanos
A,Calle de los Artífices
A,Paseo de los Artilleros
A,Calle de los Artistas
A,Calle de Arturo Baldasano
A,Plaza de Arturo Barea
A,Calle de Arturo Duperier
A,Calle de Arturo Marcos
A,Calle de Arturo Melida
A,Calle de Arturo Soria
A,Calle del Arzobispo Cos
A,Calle del Arzobispo Morcillo
A,Calle de Arzúa
A,Plaza de la Asamblea de Madrid
A,Plaza de las Asambleas
A,Calle de Ascao
A,Calle de Ascensión Bielsa
A,Calle del Asfalto
A,Plaza de la Asociación
A,Calle de Aspariegos
A,Avenida de Aster
A,Calle de los Asteroides
A,Calle de los Astilleros
A,Calle de Astorga
A,Calle de Astorga de las Cárcavas
A,Calle del Astrolabio
A,Calle de los Astros
A,Plaza de los Astros
A,Calle de Astún
A,Calle de los Asturianos
A,Avenida de Asturias
A,Calle de la Asunción
A,Calle de Asunción Castell
A,Calle de Asunción Cuestablanca
A,Calle de Asunción Pérez Vizcaíno
A,Calle de Asura
A,Calle del Atajo
A,Calle de la Atalaya
A,Camino de la Atalayuela
A,Calle de Atanagildo
A,Calle de Atapuerca
A,Calle de Ateca
A,Calle de Atenas
A,Parque de Atenas
A,Calle del Athletic
A,Calle de Athos
A,Calle del Atlético de Madrid
A,Calle de Atocha
A,Ronda de Atocha
A,Calle de Augusto Figueroa
A,Calle de Augusto González Besada
A,Calle Augustobriga
A,Calle de Aulencia
A,Calle de Auñón
A,Calle de Aurelio de la Torre
A,Calle de Aurelio González de Gregorio
A,Avenida de la Aurora Boreal
A,Calle de la Aurora
A,Calle de Aurora Iglesias
A,Calle de Aurora Redondo
A,Calle de Austria
A,Calle del Autillo
A,Calle del Autogiro
A,Travesia del Autogiro
A,Calle de Autol
A,Calle del Ave del Paraíso
A,Calle de Ave María
A,Calle de la Avecilla
A,Calle del Avefría
A,Calle de Aveiro
A,Calle de Avelino Fernández de la Poza
A,Calle de Avelino Montero Ríos
A,Calle de la Avellana
A,Calle de la Avena
A,Calle de Avendaño
A,Pasaje de la Avenencia
A,Acceso a la Avenida de América
A,Acceso a la Avenida de Aragón
A,Acceso a la Avenida de Moratalaz
A,Acceso a la Avenida del Mediterráneo
A,Calle de Averroes
A,Calle del Avestruz
A,Avenida de la Aviación
A,Calle de la Aviación Española
A,Calle del Aviador Franco
A,Calle del Aviador Lindbergh
A,Calle del Aviador Zorita
A,Calle de la Avicultura
A,Calle de Ávila
A,Calle de Avilés
A,Calle del Avión Club
A,Calle de la Avoceta
A,Ronda de la Avutarda
A,Calle de Ayacucho
A,Calle de Ayala
A,Calle de Ayamonte
A,Calle de Ayerbe
A,Calle de Ayllón
A,Calle de Aytona
A,Calle del Azabache
A,Calle del Azafrán
A,Calle de Azagra
A,Calle del Azahar
A,Avenida de las Azaleas
A,Calle de Azcoitia
A,Calle de Azcona
A,Calle de Azofra
A,Calle del Azor
A,Glorieta de Azorín
A,Parque Azorín
A,Calle de Azpeitia
A,Calle de Azuaga
A,Calle de las Azucenas
A,Calle del Azufre
A,Calle Azul
A,Paseo Azul
A,Calle del Azulejo
